YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 12 00 105  6.1  6.4 99.00 99.00 99.00 999 1004.1   6.2 999.0 999.0 99.0 99.00
2019 01 05 13 00  95  7.7  8.4 99.00 99.00 99.00 999 1003.6   6.0 999.0 999.0 99.0 99.00
2019 01 05 14 00  64  5.9  6.3 99.00 99.00 99.00 999 1003.3   6.1 999.0 999.0 99.0 99.00
2019 01 05 15 00  38  8.3  9.0 99.00 99.00 99.00 999 1002.0   5.3 999.0 999.0 99.0 99.00
2019 01 05 16 00  34  9.3  9.8 99.00 99.00 99.00 999 1000.3   5.6 999.0 999.0 99.0 99.00
2019 01 05 17 00  44 11.7 12.6 99.00 99.00 99.00 999  998.1   5.6 999.0 999.0 99.0 99.00
2019 01 05 18 00  37 12.7 14.3 99.00 99.00 99.00 999  996.1   5.4 999.0 999.0 99.0 99.00
2019 01 05 19 00  35 13.1 14.4 99.00 99.00 99.00 999  995.4   5.5 999.0 999.0 99.0 99.00
2019 01 05 20 00  32 12.3 13.7 99.00 99.00 99.00 999  994.9   5.3 999.0 999.0 99.0 99.00
2019 01 05 21 00  22 10.2 11.1 99.00 99.00 99.00 999  995.6   5.3 999.0 999.0 99.0 99.00
2019 01 05 22 00 357 10.3 11.1 99.00 99.00 99.00 999  996.2   5.3 999.0 999.0 99.0 99.00
2019 01 05 23 00   6 12.4 13.6 99.00 99.00 99.00 999  996.2   5.5 999.0 999.0 99.0 99.00
2019 01 06 00 00 356 13.0 14.0 99.00 99.00 99.00 999  997.0   4.6 999.0 999.0 99.0 99.00
2019 01 06 01 00 354 10.8 11.9 99.00 99.00 99.00 999  998.2   4.5 999.0 999.0 99.0 99.00
2019 01 06 02 00 337 11.9 13.8 99.00 99.00 99.00 999  999.3   4.4 999.0 999.0 99.0 99.00
2019 01 06 03 00 334 11.2 12.4 99.00 99.00 99.00 999 1000.3   4.2 999.0 999.0 99.0 99.00
